127.0.0.1 - - [19/Apr/2016:20:34:04 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:34:07 +0800] "GET /Wlof/ HTTP/1.1" 200 619
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:34:13 +0800] "GET /Wlof/login.html HTTP/1.1" 200 1676
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:34:20 +0800] "POST /Wlof/login.html HTTP/1.1" 200 1676
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:34:21 +0800] "POST /Wlof/User/Login.do HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:35:40 +0800] "POST /Wlof/login.html HTTP/1.1" 200 1714
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:35:40 +0800] "GET /Wlof/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:35:40 +0800] "GET /Wlof/js/AllUrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:35:40 +0800] "GET /Wlof/js/jquery-1.11.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:35:45 +0800] "POST /Wlof/login.html HTTP/1.1" 200 1714
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:35:45 +0800] "POST /Wlof/User/Login.do HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:36:46 +0800] "GET /Wlof/login.html HTTP/1.1" 200 1676
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:36:46 +0800] "GET /Wlof/css/login.css HTTP/1.1" 200 3962
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:36:46 +0800] "GET /Wlof/js/AllUrl.js HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:36:46 +0800] "GET /Wlof/js/jquery-1.11.1.js HTTP/1.1" 200 282766
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:36:47 +0800] "GET /Wlof/css/style/default/images/user.png HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:36:47 +0800] "GET /Wlof/css/style/default/images/password.png HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:36:48 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:36:57 +0800] "POST /Wlof/User/Login.do HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:36:57 +0800] "POST /Wlof/login.html HTTP/1.1" 200 1676
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:36:57 +0800] "GET /Wlof/main.html HTTP/1.1" 200 10456
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:36:57 +0800] "GET /Wlof/css/main.css HTTP/1.1" 200 1757
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:36:57 +0800] "GET /Wlof/bootstrap/js/jquery.min.js HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:36:57 +0800] "GET /Wlof/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:36:57 +0800] "GET /Wlof/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 122540
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:36:57 +0800] "GET /Wlof/images/ys.jpg HTTP/1.1" 200 216937
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:36:57 +0800] "GET /Wlof/images/back.jpg HTTP/1.1" 200 339176
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:37:10 +0800] "GET /Wlof/login.html HTTP/1.1" 200 1676
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:41:56 +0800] "GET /Wlof/login.html HTTP/1.1" 200 1802
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:41:56 +0800] "GET /Wlof/js/cookie_util.js HTTP/1.1" 200 2109
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:41:58 +0800] "GET /Wlof/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:41:58 +0800] "GET /Wlof/js/AllUrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:42:01 +0800] "POST /Wlof/login.html HTTP/1.1" 200 1802
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:42:01 +0800] "POST /Wlof/User/Login.do HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:42:07 +0800] "POST /Wlof/login.html HTTP/1.1" 412 962
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:42:10 +0800] "GET /Wlof/login.html HTTP/1.1" 200 1802
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:42:17 +0800] "POST /Wlof/login.html HTTP/1.1" 200 1802
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:42:17 +0800] "POST /Wlof/User/Login.do HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:42:19 +0800] "GET /Wlof/js/cookie_util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:42:46 +0800] "POST /Wlof/User/Login.do HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [19/Apr/2016:20:42:46 +0800] "POST /Wlof/login.html HTTP/1.1" 200 1802
